Tree ID;Species Name;DBH (cm);Replacement Value (€);Carbon Storage (kg);Carbon Storage (€);Gross Carbon Sequestration (kg/yr);Gross Carbon Sequestration (€/yr);Avoided Runoff (m^3/yr);Avoided Runoff (€/yr);Carbon Avoided (kg/yr);Carbon Avoided (€/yr);Pollution Removal (g/yr);Pollution Removal (€/yr);Energy Savings (€/yr);Total Annual Benefits (€/yr)
3000001;Picea;23,9;1 136,17;330,3;53,06;16,7;2,68;0,4;0,67;N/A;N/A;79,8;0,34;N/A;3,69
3000003;Betula pendula;37,3;2 025,87;458,9;73,72;22,3;3,58;1,3;2,43;N/A;N/A;287,3;1,21;N/A;7,22
3000005;Acer negundo;19,2;639,92;83,4;13,40;7,0;1,13;0,4;0,72;N/A;N/A;84,7;0,36;N/A;2,20
3000006;Betula pendula;39,2;2 202,64;518,9;83,37;24,0;3,85;1,3;2,53;N/A;N/A;299,5;1,26;N/A;7,65
3000007;Betula pendula;33,5;1 698,67;351,8;56,51;19,1;3,06;1,2;2,19;N/A;N/A;259,9;1,10;N/A;6,35
3000008;Betula pendula;30,0;1 428,38;267,8;43,02;16,2;2,61;1,0;1,95;N/A;N/A;231,6;0,98;N/A;5,54
3000009;Malus;29,0;1 410,83;258,2;41,48;12,2;1,97;0,3;0,62;N/A;N/A;73,0;0,31;N/A;2,89
3000010;Picea omorika;26,2;1 309,85;411,3;66,08;18,6;2,99;0,6;1,12;N/A;N/A;132,4;0,56;N/A;4,67
3000011;Picea abies;16,6;669,77;66,3;10,66;3,0;0,49;0,2;0,42;N/A;N/A;49,7;0,21;N/A;1,12
3000012;Betula pendula;27,1;1 227,00;208,3;33,47;14,0;2,25;0,9;1,74;N/A;N/A;206,4;0,87;N/A;4,86
3000013;Betula pendula;40,5;2 328,65;562,5;90,38;25,2;4,04;1,4;2,59;N/A;N/A;307,3;1,30;N/A;7,93
3000029;Gleditsia triacanthos;45,3;3 070,54;504,7;81,08;20,1;3,22;1,2;2,20;N/A;N/A;260,9;1,10;N/A;6,53
3000030;Gleditsia triacanthos;43,7;2 879,75;461,9;74,21;19,0;3,06;1,1;2,11;N/A;N/A;250,6;1,06;N/A;6,23
3000031;Gleditsia triacanthos;47,5;3 344,09;567,3;91,15;21,5;3,46;1,2;2,31;N/A;N/A;273,7;1,15;N/A;6,93
3000032;Acer platanoides;17,2;717,45;79,7;12,80;7,5;1,21;0,2;0,37;N/A;N/A;43,6;0,18;N/A;1,76
3000033;Gleditsia triacanthos;48,5;3 472,71;597,3;95,96;22,2;3,57;1,2;2,35;N/A;N/A;278,9;1,18;N/A;7,10
3000038;Larix decidua;27,4;1 367,76;138,0;22,17;6,4;1,02;0,8;1,46;N/A;N/A;173,3;0,73;N/A;3,21
3000039;Larix decidua;34,8;2 033,76;241,9;38,86;8,8;1,41;1,1;2,03;N/A;N/A;240,7;1,02;N/A;4,45
3000040;Larix decidua;32,5;1 809,79;206,0;33,10;8,0;1,28;1,0;1,89;N/A;N/A;224,0;0,94;N/A;4,12
3000041;Larix decidua;34,4;1 993,71;235,4;37,82;8,6;1,39;1,1;2,01;N/A;N/A;237,8;1,00;N/A;4,40
3000042;Picea abies;25,5;1 189,34;168,6;27,08;5,1;0,83;0,6;1,05;N/A;N/A;124,7;0,53;N/A;2,40
3000043;Picea abies;22,0;958,81;122,0;19,60;4,3;0,69;0,4;0,76;N/A;N/A;90,5;0,38;N/A;1,83
3000044;Betula pendula;39,5;2 231,35;528,8;84,96;24,3;3,90;1,3;2,54;N/A;N/A;301,4;1,27;N/A;7,71
3000045;Betula pendula;28,4;1 314,74;233,9;37,57;15,0;2,41;1,0;1,84;N/A;N/A;217,9;0,92;N/A;5,16
3000046;Picea abies;32,5;1 752,33;287,4;46,17;6,9;1,11;0,9;1,77;N/A;N/A;210,1;0,89;N/A;3,77
3000047;Betula pendula;22,3;938,62;128,7;20,68;10,5;1,69;0,7;1,37;N/A;N/A;162,6;0,69;N/A;3,75
3000049;Betula pendula;36,7;1 971,87;440,8;70,82;21,8;3,50;1,3;2,39;N/A;N/A;283,3;1,19;N/A;7,08
3000050;Larix decidua;37,9;2 359,86;295,3;47,45;9,8;1,58;1,2;2,22;N/A;N/A;262,4;1,11;N/A;4,90
3000053;Acer platanoides;45,0;3 034,25;706,3;113,47;25,8;4,14;1,2;2,29;N/A;N/A;271,6;1,15;N/A;7,58
3000054;Acer platanoides;48,5;3 472,71;837,8;134,60;28,4;4,56;1,4;2,61;N/A;N/A;309,2;1,30;N/A;8,47
3000055;Acer platanoides;30,0;1 526,93;280,7;45,09;15,3;2,45;0,6;1,07;N/A;N/A;127,1;0,54;N/A;4,06
3000056;Acer platanoides;47,2;3 306,02;787,5;126,52;27,4;4,40;1,3;2,49;N/A;N/A;295,2;1,25;N/A;8,14
3000057;Platanus x hybrida;47,5;3 432,85;476,2;76,50;13,9;2,23;1,7;3,20;N/A;N/A;379,7;1,60;N/A;7,03
3000058;Acer platanoides;37,9;2 245,63;477,6;76,73;20,6;3,31;0,9;1,68;N/A;N/A;198,7;0,84;N/A;5,83
3000059;Acer platanoides;35,1;1 971,77;401,0;64,44;18,7;3,00;0,8;1,45;N/A;N/A;171,9;0,73;N/A;5,18
3000064;Quercus robur;30,0;1 756,86;281,5;45,22;13,6;2,19;0,9;1,65;N/A;N/A;195,7;0,83;N/A;4,66
3000065;Quercus robur;41,8;3 136,53;544,3;87,45;18,9;3,04;1,3;2,47;N/A;N/A;292,9;1,24;N/A;6,74
3000066;Quercus robur;30,0;1 756,86;281,5;45,22;13,6;2,19;0,9;1,65;N/A;N/A;195,7;0,83;N/A;4,66
3000067;Quercus robur;44,6;3 530,47;619,4;99,51;20,2;3,24;1,4;2,71;N/A;N/A;320,6;1,35;N/A;7,30
3000068;Quercus robur;19,8;929,69;123,9;19,90;9,0;1,45;0,4;0,74;N/A;N/A;87,6;0,37;N/A;2,56
3000069;Quercus robur;22,3;1 101,08;156,5;25,15;10,2;1,63;0,5;0,95;N/A;N/A;112,2;0,47;N/A;3,05
3000070;Quercus robur;37,3;2 556,89;433,9;69,71;16,9;2,71;1,2;2,23;N/A;N/A;264,5;1,12;N/A;6,06
3000071;Quercus robur;26,2;1 409,09;215,2;34,57;11,9;1,91;0,7;1,30;N/A;N/A;154,1;0,65;N/A;3,86
3000073;Quercus robur;32,5;2 011,30;329,9;53,01;14,7;2,37;1,0;1,87;N/A;N/A;221,7;0,94;N/A;5,17
3000074;Quercus robur;26,2;1 409,09;215,2;34,57;11,9;1,91;0,7;1,30;N/A;N/A;154,1;0,65;N/A;3,86
3000075;Quercus robur;32,5;2 011,30;329,9;53,01;14,7;2,37;1,0;1,87;N/A;N/A;221,7;0,94;N/A;5,17
3000147;Acer platanoides;37,9;2 245,63;477,6;76,73;20,6;3,31;0,9;1,68;N/A;N/A;198,7;0,84;N/A;5,83
3000149;Quercus rubra;6,4;136,71;5,9;0,95;1,3;0,21;0,1;0,11;N/A;N/A;12,6;0,05;N/A;0,37
3000151;Acer pseudoplatanus;26,8;1 258,04;222,4;35,74;10,2;1,64;0,9;1,64;N/A;N/A;194,4;0,82;N/A;4,10
3000152;Acer negundo;28,7;949,45;208,6;33,51;11,8;1,90;0,8;1,60;N/A;N/A;189,5;0,80;N/A;4,29
3000153;Betula pendula;39,5;2 231,35;528,8;84,96;24,3;3,90;1,3;2,54;N/A;N/A;301,4;1,27;N/A;7,71
3000154;Betula pendula;36,4;1 945,20;431,9;69,40;21,5;3,46;1,2;2,37;N/A;N/A;281,2;1,19;N/A;7,02
3000155;Betula pendula;33,8;1 723,23;359,6;57,77;19,3;3,10;1,2;2,21;N/A;N/A;262,2;1,11;N/A;6,42
3000156;Betula pendula;37,0;1 998,76;449,8;72,26;22,0;3,54;1,3;2,41;N/A;N/A;285,3;1,20;N/A;7,15
3000157;Betula pendula;35,4;1 857,88;403,2;64,78;20,7;3,32;1,2;2,31;N/A;N/A;274,1;1,16;N/A;6,79
3000158;Betula pendula;28,1;1 294,13;227,8;36,60;14,7;2,37;1,0;1,82;N/A;N/A;215,3;0,91;N/A;5,09
3000159;Acer negundo;41,5;1 560,68;485,2;77,96;19,0;3,06;1,4;2,66;N/A;N/A;315,7;1,33;N/A;7,06
3000160;Acer negundo;56,4;2 552,93;978,9;157,28;28,3;4,55;1,5;2,88;N/A;N/A;340,9;1,44;N/A;8,87
3000161;Acer negundo;22,7;739,67;122,1;19,62;8,7;1,40;0,5;1,01;N/A;N/A;120,1;0,51;N/A;2,92
3000163;Betula pendula;60,2;4 741,26;1 501,7;241,28;45,0;7,24;1,7;3,19;N/A;N/A;377,4;1,59;N/A;12,01
3000164;Acer saccharinum;30,0;1 116,33;266,1;42,76;12,1;1,95;0,7;1,26;N/A;N/A;149,3;0,63;N/A;3,84
3000165;Acer saccharinum;44,6;2 014,36;609,0;97,84;19,1;3,06;1,4;2,67;N/A;N/A;316,0;1,33;N/A;7,06
3000166;Betula pendula;31,3;1 525,30;297,4;47,78;17,3;2,77;1,1;2,05;N/A;N/A;242,4;1,02;N/A;5,84
3000167;Acer saccharinum;34,1;1 333,02;347,7;55,87;14,0;2,26;0,9;1,63;N/A;N/A;192,6;0,81;N/A;4,69
3000168;Acer saccharinum;63,1;3 657,17;1 256,4;201,86;28,4;4,56;2,3;4,41;N/A;N/A;522,2;2,20;N/A;11,17
3000169;Fagus sylvatica;94,6;14 748,83;4 482,8;720,24;0,9;0,14;5,5;10,43;N/A;N/A;1 235,3;5,21;N/A;15,78
3000198;Tilia cordata;26,2;1 433,14;145,4;23,37;7,4;1,18;0,6;1,05;N/A;N/A;124,6;0,53;N/A;2,76
3000199;Tilia cordata;27,8;1 577,39;167,3;26,87;8,0;1,28;0,6;1,18;N/A;N/A;140,4;0,59;N/A;3,06
3000200;Tilia cordata;31,9;1 986,07;231,4;37,17;9,6;1,54;0,8;1,55;N/A;N/A;183,8;0,78;N/A;3,87
3000201;Tilia platyphyllos;17,2;751,86;53,9;8,66;4,2;0,67;0,3;0,54;N/A;N/A;63,9;0,27;N/A;1,48
3000202;Tilia platyphyllos;24,6;1 221,55;125,4;20,14;6,8;1,09;0,6;1,07;N/A;N/A;126,5;0,53;N/A;2,69
3000203;Tilia cordata;30,0;1 789,71;200,2;32,16;8,8;1,42;0,7;1,38;N/A;N/A;163,2;0,69;N/A;3,49
3000204;Acer platanoides;38,6;2 317,38;497,9;80,00;21,1;3,39;0,9;1,74;N/A;N/A;205,6;0,87;N/A;6,00
3000205;Acer platanoides;32,9;1 771,33;346,1;55,61;17,2;2,76;0,7;1,28;N/A;N/A;151,9;0,64;N/A;4,68
3000206;Acer pseudoplatanus;27,1;1 279,04;228,1;36,66;10,4;1,67;0,9;1,67;N/A;N/A;197,9;0,83;N/A;4,17
3000207;Tilia cordata;31,9;1 986,07;231,4;37,17;9,6;1,54;0,8;1,55;N/A;N/A;183,8;0,78;N/A;3,87
3000208;Tilia cordata;47,5;4 054,17;591,5;95,04;16,4;2,64;1,6;2,99;N/A;N/A;354,7;1,50;N/A;7,13
3000209;Acer pseudoplatanus;20,8;887,16;124,9;20,06;7,4;1,18;0,6;1,07;N/A;N/A;126,7;0,53;N/A;2,79
3000210;Acer pseudoplatanus;31,9;1 646,81;331,1;53,19;12,8;2,06;1,1;2,12;N/A;N/A;251,4;1,06;N/A;5,24
3000212;Acer pseudoplatanus;11,5;497,06;32,5;5,22;3,5;0,56;0,2;0,36;N/A;N/A;43,0;0,18;N/A;1,10
3000213;Acer pseudoplatanus;30,3;1 517,57;294,4;47,29;12,0;1,93;1,0;1,98;N/A;N/A;234,0;0,99;N/A;4,89
3000214;Acer pseudoplatanus;28,7;1 394,98;260,1;41,78;11,2;1,80;1,0;1,82;N/A;N/A;216,1;0,91;N/A;4,53
3000215;Acer pseudoplatanus;18,8;784,31;99,2;15,94;6,5;1,04;0,5;0,89;N/A;N/A;105,7;0,45;N/A;2,38
3000216;Tilia cordata;37,0;2 572,77;328,2;52,73;11,7;1,88;1,1;2,04;N/A;N/A;241,4;1,02;N/A;4,94
3000217;Tilia platyphyllos;34,4;2 099,54;276,4;44,41;10,6;1,71;1,0;1,99;N/A;N/A;236,1;1,00;N/A;4,69
3000218;Tilia platyphyllos;28,7;1 553,39;180,3;28,97;8,3;1,34;0,8;1,43;N/A;N/A;169,8;0,72;N/A;3,49
3000219;Ginkgo biloba;1,3;66,07;0,0;0,01;0,0;0,01;0,0;0,02;N/A;N/A;2,0;0,01;N/A;0,03
3000220;Tilia cordata;3,9;66,07;1,6;0,26;0,6;0,10;0,0;0,04;N/A;N/A;5,2;0,02;N/A;0,16
3000221;Tilia cordata;37,9;2 685,32;347,4;55,81;12,1;1,94;1,1;2,12;N/A;N/A;251,7;1,06;N/A;5,13
3000222;Tilia platyphyllos;31,3;1 790,27;221,2;35,54;9,3;1,50;0,9;1,68;N/A;N/A;199,4;0,84;N/A;4,03
3000223;Tilia platyphyllos;31,3;1 790,27;221,2;35,54;9,3;1,50;0,9;1,68;N/A;N/A;199,4;0,84;N/A;4,03
3000224;Tilia cordata;52,6;4 906,54;752,4;120,88;18,8;3,03;1,8;3,36;N/A;N/A;398,2;1,68;N/A;8,07
3000225;Tilia platyphyllos;39,9;2 720,07;392,1;63,00;13,0;2,08;1,3;2,54;N/A;N/A;300,8;1,27;N/A;5,89
3000227;Tilia cordata;37,3;2 609,99;334,5;53,75;11,8;1,90;1,1;2,07;N/A;N/A;244,9;1,03;N/A;5,00
3000228;Tilia cordata;32,9;2 094,27;248,8;39,98;10,0;1,61;0,9;1,64;N/A;N/A;194,9;0,82;N/A;4,07
3000229;Tilia platyphyllos;31,6;1 818,93;226,3;36,35;9,5;1,52;0,9;1,71;N/A;N/A;203,0;0,86;N/A;4,09
3000230;Tilia cordata;45,6;3 758,83;537,3;86,32;15,5;2,49;1,5;2,84;N/A;N/A;336,0;1,42;N/A;6,75
3000231;Tilia platyphyllos;30,3;1 696,73;204,9;32,92;8,9;1,44;0,8;1,59;N/A;N/A;187,9;0,79;N/A;3,82
3000232;Tilia platyphyllos;34,8;2 141,58;284,0;45,64;10,8;1,73;1,1;2,03;N/A;N/A;240,8;1,02;N/A;4,78
3000233;Tilia cordata;30,9;1 881,22;214,6;34,48;9,2;1,48;0,8;1,46;N/A;N/A;172,9;0,73;N/A;3,66
3000234;Tilia platyphyllos;29,0;1 579,67;184,8;29,69;8,4;1,36;0,8;1,46;N/A;N/A;173,2;0,73;N/A;3,55
3000236;Tilia tomentosa;7,1;163,76;5,1;0,82;1,0;0,16;0,1;0,14;N/A;N/A;16,4;0,07;N/A;0,37
3000237;Tilia cordata;33,5;2 160,79;259,7;41,72;10,2;1,65;0,9;1,70;N/A;N/A;201,6;0,85;N/A;4,20
3000238;Tilia platyphyllos;29,7;1 642,07;195,5;31,41;8,7;1,40;0,8;1,53;N/A;N/A;181,1;0,76;N/A;3,69
3000239;Tilia platyphyllos;31,9;1 847,85;231,4;37,17;9,6;1,54;0,9;1,74;N/A;N/A;206,4;0,87;N/A;4,15
3000363;Acer platanoides;39,2;2 379,92;515,7;82,86;21,5;3,46;0,9;1,79;N/A;N/A;211,6;0,89;N/A;6,14
3000364;Acer platanoides;61,2;5 339,37;1 423,8;228,76;38,0;6,11;2,0;3,75;N/A;N/A;444,5;1,87;N/A;11,73
3000365;Acer platanoides;39,9;2 454,11;536,9;86,27;22,0;3,54;1,0;1,85;N/A;N/A;218,6;0,92;N/A;6,31
3000366;Acer platanoides;33,2;1 797,89;353,4;56,77;17,4;2,79;0,7;1,30;N/A;N/A;154,6;0,65;N/A;4,75
3000367;Acer platanoides;40,8;2 551,42;564,9;90,76;22,7;3,65;1,0;1,92;N/A;N/A;227,8;0,96;N/A;6,53
3000368;Acer platanoides;55,1;4 388,84;1 120,7;180,06;33,4;5,37;1,7;3,21;N/A;N/A;380,8;1,61;N/A;10,19
3000369;Acer platanoides;43,7;2 879,75;660,6;106,14;24,8;3,98;1,1;2,18;N/A;N/A;257,8;1,09;N/A;7,25
3000370;Acer platanoides;17,9;750,37;87,2;14,01;7,9;1,27;0,2;0,40;N/A;N/A;47,0;0,20;N/A;1,86
3000371;Acer platanoides;39,5;2 411,56;524,8;84,31;21,8;3,50;1,0;1,81;N/A;N/A;214,6;0,91;N/A;6,21
3000372;Acer platanoides;46,5;3 218,14;761,1;122,28;26,9;4,32;1,3;2,43;N/A;N/A;287,7;1,21;N/A;7,96
3000373;Acer platanoides;46,5;3 218,14;761,1;122,28;26,9;4,32;1,3;2,43;N/A;N/A;287,7;1,21;N/A;7,96
3000374;Acer platanoides;50,4;3 724,48;914,5;146,93;29,8;4,79;1,5;2,78;N/A;N/A;329,8;1,39;N/A;8,96
3000375;Carpinus betulus;36,7;2 063,24;453,8;72,90;10,1;1,63;1,2;2,28;N/A;N/A;269,6;1,14;N/A;5,04
3000376;Tilia cordata;50,4;4 528,20;680,3;109,30;17,8;2,86;1,7;3,21;N/A;N/A;380,8;1,61;N/A;7,68
3000377;Acer platanoides;49,7;3 630,60;885,8;142,32;29,3;4,70;1,4;2,72;N/A;N/A;322,2;1,36;N/A;8,78
3000378;Acer platanoides;26,2;1 240,79;206,4;33,16;12,8;2,06;0,4;0,82;N/A;N/A;97,7;0,41;N/A;3,30
3000379;Tilia platyphyllos;25,5;1 290,02;136,4;21,92;7,1;1,14;0,6;1,14;N/A;N/A;135,6;0,57;N/A;2,86
3000380;Acer platanoides;44,6;2 986,23;692,0;111,19;25,5;4,09;1,2;2,26;N/A;N/A;267,3;1,13;N/A;7,47
3000381;Acer platanoides;55,8;4 492,85;1 153,4;185,31;34,0;5,46;1,7;3,28;N/A;N/A;388,3;1,64;N/A;10,38
3000382;Tilia platyphyllos;37,9;2 483,80;347,4;55,81;12,1;1,94;1,2;2,34;N/A;N/A;277,6;1,17;N/A;5,46
3000383;Tilia platyphyllos;34,8;2 141,58;284,0;45,64;10,8;1,73;1,1;2,03;N/A;N/A;240,8;1,02;N/A;4,78
3000384;Acer platanoides;33,8;1 851,76;368,1;59,13;17,8;2,86;0,7;1,35;N/A;N/A;160,0;0,67;N/A;4,88
3000385;Tilia platyphyllos;26,5;1 368,98;149,4;24,00;7,5;1,20;0,6;1,23;N/A;N/A;146,0;0,62;N/A;3,05
3000386;Tilia platyphyllos;30,9;1 752,49;214,6;34,48;9,2;1,48;0,9;1,64;N/A;N/A;194,8;0,82;N/A;3,94
3000388;Acer platanoides;28,4;1 401,73;247,8;39,82;14,2;2,29;0,5;0,96;N/A;N/A;114,3;0,48;N/A;3,73
3000389;Tilia platyphyllos;49,1;3 963,41;639,6;102,76;17,2;2,76;1,7;3,31;N/A;N/A;392,7;1,66;N/A;7,73
3000390;Acer platanoides;52,9;4 070,50;1 021,2;164,08;31,7;5,10;1,6;3,01;N/A;N/A;356,9;1,51;N/A;9,62
3000391;Acer platanoides;27,1;1 305,06;222,8;35,80;13,4;2,15;0,5;0,88;N/A;N/A;104,4;0,44;N/A;3,47
3000392;Acer platanoides;32,5;1 736,28;336,7;54,09;16,9;2,72;0,7;1,25;N/A;N/A;148,4;0,63;N/A;4,60
3000393;Acer platanoides;43,0;2 798,44;636,7;102,30;24,3;3,90;1,1;2,11;N/A;N/A;250,5;1,06;N/A;7,07
3000394;Acer platanoides;35,1;1 971,77;401,0;64,44;18,7;3,00;0,8;1,45;N/A;N/A;171,9;0,73;N/A;5,18
3000395;Tilia platyphyllos;30,0;1 669,27;200,2;32,16;8,8;1,42;0,8;1,56;N/A;N/A;184,5;0,78;N/A;3,75
3000396;Tilia platyphyllos;30,9;1 752,49;214,6;34,48;9,2;1,48;0,9;1,64;N/A;N/A;194,8;0,82;N/A;3,94
3000397;Tilia platyphyllos;38,6;2 565,11;362,7;58,27;12,4;1,99;1,3;2,41;N/A;N/A;285,8;1,21;N/A;5,61
3000398;Acer platanoides;44,6;2 986,23;692,0;111,19;25,5;4,09;1,2;2,26;N/A;N/A;267,3;1,13;N/A;7,47
3000399;Acer platanoides;32,2;1 710,27;329,6;52,96;16,7;2,69;0,6;1,23;N/A;N/A;145,8;0,61;N/A;4,53
3000400;Tilia platyphyllos;40,5;2 793,33;406,2;65,26;13,2;2,13;1,4;2,60;N/A;N/A;307,6;1,30;N/A;6,02
3000402;Acer platanoides;43,4;2 844,74;650,3;104,49;24,6;3,95;1,1;2,15;N/A;N/A;254,7;1,07;N/A;7,17
3000476;Picea abies;12,8;514,85;38,4;6,17;2,2;0,35;0,1;0,25;N/A;N/A;29,3;0,12;N/A;0,73
3000479;Picea abies;15,0;599,66;53,5;8,59;2,7;0,43;0,2;0,34;N/A;N/A;40,3;0,17;N/A;0,94
3000480;Picea abies;18,8;777,76;86,7;13,92;3,5;0,57;0,3;0,54;N/A;N/A;64,5;0,27;N/A;1,39
3000481;Picea abies;22,0;958,81;122,0;19,60;4,3;0,69;0,4;0,76;N/A;N/A;90,5;0,38;N/A;1,83
3000483;Picea abies;7,7;170,73;14,6;2,34;1,2;0,19;0,1;0,10;N/A;N/A;11,3;0,05;N/A;0,33
3000485;Picea abies;15,3;612,27;55,8;8,96;2,7;0,44;0,2;0,35;N/A;N/A;42,0;0,18;N/A;0,97
3000487;Picea abies;21,7;940,63;118,4;19,02;4,2;0,68;0,4;0,74;N/A;N/A;87,8;0,37;N/A;1,79
3000488;Carpinus betulus;25,5;1 164,83;198,0;31,80;9,8;1,58;0,7;1,24;N/A;N/A;146,6;0,62;N/A;3,43
3000489;Carpinus betulus;25,8;1 184,68;203,2;32,65;10,0;1,60;0,7;1,26;N/A;N/A;149,6;0,63;N/A;3,50
3000490;Carpinus betulus;29,0;1 410,83;264,8;42,54;11,6;1,87;0,8;1,55;N/A;N/A;183,2;0,77;N/A;4,19
3000495;Carpinus betulus;25,5;1 164,83;198,0;31,80;9,8;1,58;0,7;1,24;N/A;N/A;146,6;0,62;N/A;3,43
3000501;Carpinus betulus;17,6;725,73;87,1;13,99;6,1;0,98;0,3;0,65;N/A;N/A;76,6;0,32;N/A;1,95
3000504;Betula pendula;16,3;656,96;59,4;9,55;6,7;1,08;0,5;0,90;N/A;N/A;107,1;0,45;N/A;2,43
3000505;Picea abies;28,1;1 382,59;208,7;33,53;5,8;0,93;0,7;1,30;N/A;N/A;154,0;0,65;N/A;2,88
3000506;Pinus;23,9;995,09;196,5;31,56;10,2;1,64;0,4;0,82;N/A;N/A;97,5;0,41;N/A;2,88
3000507;Pinus;13,1;513,26;46,0;7,39;4,4;0,71;0,1;0,21;N/A;N/A;24,4;0,10;N/A;1,02
3000508;Pinus;18,5;719,02;105,8;17,00;7,1;1,15;0,2;0,45;N/A;N/A;53,8;0,23;N/A;1,83
3000509;Betula pendula;14,1;575,62;41,6;6,68;5,5;0,88;0,4;0,74;N/A;N/A;87,5;0,37;N/A;1,98
3000511;Pinus;24,9;1 053,94;216,9;34,84;10,8;1,74;0,5;0,90;N/A;N/A;106,9;0,45;N/A;3,09
3000512;Betula pendula;15,7;633,61;54,2;8,71;6,4;1,02;0,5;0,86;N/A;N/A;101,7;0,43;N/A;2,31
3000513;Tilia platyphyllos;33,5;2 006,75;259,7;41,72;10,2;1,65;1,0;1,90;N/A;N/A;225,3;0,95;N/A;4,50
3000514;Tilia platyphyllos;14,7;630,76;37,2;5,98;3,4;0,55;0,2;0,41;N/A;N/A;48,0;0,20;N/A;1,15
3000515;Tilia cordata;26,8;1 486,23;153,4;24,65;7,6;1,22;0,6;1,10;N/A;N/A;130,4;0,55;N/A;2,87
3000516;Tilia platyphyllos;24,3;1 199,28;121,8;19,57;6,7;1,07;0,5;1,04;N/A;N/A;123,6;0,52;N/A;2,63
3000517;Tilia platyphyllos;37,6;2 449,40;340,9;54,77;12,0;1,92;1,2;2,31;N/A;N/A;274,0;1,16;N/A;5,39
3000518;Tilia platyphyllos;39,2;2 636,00;376,1;60,43;12,7;2,03;1,3;2,47;N/A;N/A;292,7;1,23;N/A;5,74
3000519;Tilia platyphyllos;18,2;805,61;61,6;9,90;4,5;0,73;0,3;0,60;N/A;N/A;71,0;0,30;N/A;1,62
3000520;Tilia platyphyllos;23,9;1 170,00;117,1;18,82;6,5;1,05;0,5;1,01;N/A;N/A;119,7;0,50;N/A;2,56
3000521;Tilia platyphyllos;13,7;587,63;31,5;5,07;3,1;0,50;0,2;0,36;N/A;N/A;42,4;0,18;N/A;1,03
3000522;Tilia platyphyllos;26,8;1 393,26;153,4;24,65;7,6;1,22;0,7;1,26;N/A;N/A;149,1;0,63;N/A;3,11
3000524;Tilia platyphyllos;25,2;1 266,93;132,7;21,32;7,0;1,12;0,6;1,12;N/A;N/A;132,5;0,56;N/A;2,80
3000525;Tilia platyphyllos;29,0;1 579,67;184,8;29,69;8,4;1,36;0,8;1,46;N/A;N/A;173,2;0,73;N/A;3,55
3000526;Tilia platyphyllos;35,4;2 205,53;295,7;47,51;11,0;1,77;1,1;2,09;N/A;N/A;247,9;1,05;N/A;4,91
3000527;Tilia platyphyllos;41,8;2 955,79;437,6;70,31;13,8;2,22;1,4;2,72;N/A;N/A;322,1;1,36;N/A;6,30
3000528;Quercus robur;13,7;596,92;60,4;9,71;6,3;1,01;0,2;0,34;N/A;N/A;40,1;0,17;N/A;1,52
3000529;Tilia platyphyllos;24,3;1 199,28;121,8;19,57;6,7;1,07;0,5;1,04;N/A;N/A;123,6;0,52;N/A;2,63
3000530;Tilia platyphyllos;65,7;6 857,16;1 271,1;204,22;25,4;4,09;2,0;3,79;N/A;N/A;448,5;1,89;N/A;9,76
3000531;Tilia platyphyllos;23,9;1 170,00;117,1;18,82;6,5;1,05;0,5;1,01;N/A;N/A;119,7;0,50;N/A;2,56
3000532;Tilia platyphyllos;30,3;1 696,73;204,9;32,92;8,9;1,44;0,8;1,59;N/A;N/A;187,9;0,79;N/A;3,82
3000533;Tilia platyphyllos;23,3;1 127,00;110,3;17,72;6,3;1,01;0,5;0,96;N/A;N/A;114,0;0,48;N/A;2,45
3000534;Tilia platyphyllos;29,0;1 579,67;184,8;29,69;8,4;1,36;0,8;1,46;N/A;N/A;173,2;0,73;N/A;3,55
3000535;Tilia platyphyllos;30,3;1 696,73;204,9;32,92;8,9;1,44;0,8;1,59;N/A;N/A;187,9;0,79;N/A;3,82
3000537;Tilia platyphyllos;17,6;772,99;56,9;9,14;4,3;0,69;0,3;0,56;N/A;N/A;66,7;0,28;N/A;1,54
3000538;Tilia platyphyllos;19,2;862,40;69,9;11,23;4,9;0,78;0,3;0,66;N/A;N/A;78,6;0,33;N/A;1,77
3000539;Tilia platyphyllos;19,8;897,93;75,1;12,07;5,1;0,81;0,4;0,70;N/A;N/A;83,3;0,35;N/A;1,87
3000540;Tilia platyphyllos;19,5;880,03;72,5;11,65;5,0;0,80;0,4;0,68;N/A;N/A;80,9;0,34;N/A;1,82
3000541;Tilia platyphyllos;29,7;1 642,07;195,5;31,41;8,7;1,40;0,8;1,53;N/A;N/A;181,1;0,76;N/A;3,69
3000542;Tilia platyphyllos;32,9;1 946,25;248,8;39,98;10,0;1,61;1,0;1,84;N/A;N/A;218,2;0,92;N/A;4,37
3000543;Tilia;22,3;1 057,76;236,8;38,05;14,1;2,27;0,5;0,94;N/A;N/A;111,8;0,47;N/A;3,68
3000544;Tilia platyphyllos;29,3;1 606,23;189,3;30,42;8,6;1,37;0,8;1,49;N/A;N/A;176,5;0,74;N/A;3,61
3000545;Tilia platyphyllos;22,3;1 057,76;99,5;15,98;5,9;0,95;0,5;0,88;N/A;N/A;104,7;0,44;N/A;2,28
3000546;Tilia platyphyllos;20,4;934,56;80,6;12,95;5,3;0,85;0,4;0,74;N/A;N/A;88,2;0,37;N/A;1,96
3000547;Tilia platyphyllos;23,3;1 127,00;110,3;17,72;6,3;1,01;0,5;0,96;N/A;N/A;114,0;0,48;N/A;2,45
