Tree ID;Species Name;DBH (cm);Replacement Value (€);Carbon Storage (kg);Carbon Storage (€);Gross Carbon Sequestration (kg/yr);Gross Carbon Sequestration (€/yr);Avoided Runoff (m^3/yr);Avoided Runoff (€/yr);Carbon Avoided (kg/yr);Carbon Avoided (€/yr);Pollution Removal (g/yr);Pollution Removal (€/yr);Energy Savings (€/yr);Total Annual Benefits (€/yr)
3223150;Picea abies;7,7;170,73;14,6;2,34;1,2;0,19;0,1;0,10;N/A;N/A;11,3;0,05;N/A;0,33
3223151;Picea abies;22,0;958,81;122,0;19,60;4,3;0,69;0,4;0,76;N/A;N/A;90,5;0,38;N/A;1,83
3223152;Picea abies;11,2;461,60;29,3;4,71;1,9;0,30;0,1;0,19;N/A;N/A;22,6;0,10;N/A;0,59
3223153;Picea abies;16,0;642,65;61,3;9,85;2,9;0,47;0,2;0,39;N/A;N/A;46,0;0,19;N/A;1,05
3223154;Picea abies;12,8;514,85;38,4;6,17;2,2;0,35;0,1;0,25;N/A;N/A;29,3;0,12;N/A;0,73
3223155;Picea abies;10,6;443,47;26,3;4,22;1,7;0,28;0,1;0,17;N/A;N/A;20,4;0,09;N/A;0,54
3223156;Picea abies;6,4;117,95;10,8;1,74;0,9;0,15;0,0;0,07;N/A;N/A;8,1;0,03;N/A;0,25
3223157;Picea abies;11,2;461,60;29,3;4,71;1,9;0,30;0,1;0,19;N/A;N/A;22,6;0,10;N/A;0,59
3223158;Picea abies;6,7;129,27;11,6;1,86;1,0;0,16;0,0;0,07;N/A;N/A;8,8;0,04;N/A;0,27
3223159;Picea abies;9,3;249,06;20,4;3,28;1,5;0,24;0,1;0,13;N/A;N/A;15,9;0,07;N/A;0,44
3223160;Picea abies;7,7;170,73;14,6;2,34;1,2;0,19;0,1;0,10;N/A;N/A;11,3;0,05;N/A;0,33
3223161;Picea abies;10,6;443,47;26,3;4,22;1,7;0,28;0,1;0,17;N/A;N/A;20,4;0,09;N/A;0,54
3223162;Picea abies;7,4;157,69;13,6;2,19;1,1;0,18;0,0;0,09;N/A;N/A;10,5;0,04;N/A;0,31
3223163;Picea abies;7,7;170,73;14,6;2,34;1,2;0,19;0,1;0,10;N/A;N/A;11,3;0,05;N/A;0,33
3223164;Picea abies;10,9;452,41;27,8;4,46;1,8;0,29;0,1;0,18;N/A;N/A;21,5;0,09;N/A;0,56
3223165;Picea abies;9,9;282,23;23,0;3,70;1,6;0,26;0,1;0,15;N/A;N/A;17,9;0,08;N/A;0,48
3223166;Picea abies;8,6;212,98;17,7;2,84;1,3;0,21;0,1;0,12;N/A;N/A;13,8;0,06;N/A;0,39
3223167;Picea abies;6,4;117,95;10,8;1,74;0,9;0,15;0,0;0,07;N/A;N/A;8,1;0,03;N/A;0,25
3223168;Picea abies;12,8;514,85;38,4;6,17;2,2;0,35;0,1;0,25;N/A;N/A;29,3;0,12;N/A;0,73
3223170;Picea abies;11,8;480,74;32,5;5,23;2,0;0,32;0,1;0,21;N/A;N/A;25,0;0,11;N/A;0,64
3223171;Picea abies;6,1;107,15;10,1;1,63;0,9;0,14;0,0;0,07;N/A;N/A;7,8;0,03;N/A;0,24
3223172;Pinus strobus;9,6;280,77;7,8;1,26;1,4;0,22;0,1;0,10;N/A;N/A;11,9;0,05;N/A;0,37
3223173;Picea abies;7,7;170,73;14,6;2,34;1,2;0,19;0,1;0,10;N/A;N/A;11,3;0,05;N/A;0,33
3223174;Picea abies;9,3;249,06;20,4;3,28;1,5;0,24;0,1;0,13;N/A;N/A;15,9;0,07;N/A;0,44
3223176;Picea abies;8,3;198,38;16,6;2,67;1,3;0,21;0,1;0,11;N/A;N/A;13,0;0,05;N/A;0,37
3223177;Picea abies;8,3;198,38;16,6;2,67;1,3;0,21;0,1;0,11;N/A;N/A;13,0;0,05;N/A;0,37
3223178;Picea abies;11,8;480,74;32,5;5,23;2,0;0,32;0,1;0,21;N/A;N/A;25,0;0,11;N/A;0,64
3223179;Picea abies;7,4;157,69;13,6;2,19;1,1;0,18;0,0;0,09;N/A;N/A;10,5;0,04;N/A;0,31
